Sample_name,Well_number,X_mosaic,Y_mosaic,Object_number,Cell_class,CentroidX,CentroidY,CentroidZ,Volume,Compactness,Elongation
dataset_0120,1,1,1,160,cd34,528.446,605.7986,99.0504,383.0284,0.111,1.7506
dataset_0120,1,1,1,161,lectine,621.4521,623.0745,99.5106,518.0528,0.2274,2.0803
dataset_0120,1,1,1,162,lectine,594.3981,4.1374,100.7251,581.4316,0.2294,1.8315
dataset_0120,1,1,1,163,lectine,784.0726,177.7984,100.0081,341.6944,0.3083,1.8097
dataset_0120,1,1,1,164,lectine,750.1422,257.2371,101.0216,639.2992,0.2773,2.9394
dataset_0120,1,1,1,165,lectine,454.4796,428.9482,100.4251,1011.3052,0.221,1.4165
dataset_0120,1,1,1,166,lectine,632.8679,437.3396,100.5283,438.1404,0.2544,2.2766
dataset_0120,1,1,1,167,cd68,516.4412,574.2353,99.5294,93.6904,0.3503,1.9052
dataset_0120,1,1,1,168,cd68,517.1212,580.8485,99.5152,90.9348,0.2806,1.5523
dataset_0120,1,1,1,169,lectine,686.4274,88.6432,101.4212,1328.1992,0.1051,1.9907
dataset_0120,1,1,1,170,lectine,732.7573,161.4289,103.318,2634.3536,0.09914,1.7245
dataset_0120,1,1,1,171,lectine,475.2392,557.8373,102.4809,1151.8408,0.232,2.4395
dataset_0120,1,1,1,172,lectine,575.011,600.7219,102.4715,1496.2908,0.194,1.8432
dataset_0120,1,1,1,173,cd68,540.4916,624.9398,102.2072,1143.574,0.1876,1.4621
dataset_0120,1,1,1,174,lectine,542.551,682.4376,102.1134,1215.2196,0.1601,1.4823
dataset_0120,1,1,1,175,none,27.9375,66.6562,101,88.1792,0.1309,1.2319
dataset_0120,1,1,1,176,cd68,575.0394,389.3912,102.9977,1190.4192,0.1909,1.8352
dataset_0120,1,1,1,177,lectine,653.0622,450.5648,102.6736,531.8308,0.1879,1.5726
dataset_0120,1,1,1,178,lectine,443.9222,476.5556,103.2889,992.016,0.2158,2.2388
dataset_0120,1,1,1,179,lectine,462.2564,517.6267,103.8267,4643.186,0.06422,1.641
dataset_0120,1,1,1,180,lectine,744.3861,561.6832,102.3564,556.6312,0.1892,1.9061
dataset_0120,1,1,1,181,none,755.2356,666.7867,102.4089,620.01,0.09652,1.8123
dataset_0120,1,1,1,182,lectine,755.7625,677.3097,104.1614,2099.7672,0.06809,2.2332
dataset_0120,1,1,1,183,cd68,686.7244,793.7016,102.8155,1209.7084,0.155,1.3186
dataset_0120,1,1,1,184,lectine,638.2083,24.2041,104.5541,5833.6052,0.04892,1.1367
dataset_0120,1,1,1,185,lectine,792.9931,94.0928,103.9897,801.8796,0.2159,2.4303
dataset_0120,1,1,1,186,cd68,696.2356,268.3487,104.4273,1193.1748,0.2327,2.2961
dataset_0120,1,1,1,187,lectine,587.7558,405.7641,104.2542,1658.8712,0.1655,2.0544
dataset_0120,1,1,1,188,lectine,575.9118,436.8944,105.7707,3653.9256,0.09708,1.4282
dataset_0120,1,1,1,189,lectine,677.8849,664.9486,109.7279,38294.5732,0.0102,1.2695
dataset_0120,1,1,1,190,lectine,779.9104,679.5,103.9353,1107.7512,0.1516,1.4112
dataset_0120,1,1,1,191,lectine,690.903,766.1634,103.8144,994.7716,0.1223,1.3848
dataset_0120,1,1,1,192,cd34,714.1009,3.8168,105.9533,1474.246,0.2529,2.3889
dataset_0120,1,1,1,193,lectine,590.2664,153.7969,104.9738,1262.0648,0.1056,1.6546
dataset_0120,1,1,1,194,lectine,574.3379,481.2184,105.577,1198.686,0.1841,2.2984
dataset_0120,1,1,1,195,bodipy,603.0721,588.3558,104.4977,1184.908,0.1373,1.229
